                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.89956,                0.55929,                 1.1124,                0.93531,                0.92925,                0.93981,                 0.6814,                    nan,                    nan,                    nan,             0.00040225,             0.00040225,             0.00040225
                     38,                0.89946,                0.55586,                 1.1056,                 0.9389,                0.93428,                0.93785,                 0.6828,                    nan,                    nan,                    nan,             0.00039606,             0.00039606,             0.00039606
                     39,                 0.8858,                0.55014,                 1.1041,                0.93495,                0.92607,                0.93549,                0.68245,                    nan,                    nan,                    nan,             0.00038988,             0.00038988,             0.00038988
                     40,                 0.8805,                0.54753,                 1.0978,                0.94015,                0.93719,                0.94019,                0.68788,                    nan,                    nan,                    nan,             0.00038369,             0.00038369,             0.00038369
                     41,                0.88961,                0.55052,                 1.1029,                0.93443,                0.93639,                0.93896,                0.68724,                    nan,                    nan,                    nan,              0.0003775,              0.0003775,              0.0003775
                     42,                 0.8731,                0.54496,                  1.098,                0.94643,                 0.9372,                0.93987,                0.68787,                    nan,                    nan,                    nan,             0.00037131,             0.00037131,             0.00037131
                     43,                0.87723,                0.52922,                 1.0906,                 0.9325,                 0.9337,                 0.9393,                0.69162,                    nan,                    nan,                    nan,             0.00036513,             0.00036513,             0.00036513
                     44,                0.88403,                0.53188,                 1.0928,                0.94525,                0.92762,                0.93964,                0.68792,                    nan,                    nan,                    nan,             0.00035894,             0.00035894,             0.00035894
                     45,                0.88142,                0.53324,                 1.0934,                0.93967,                 0.9376,                0.93967,                0.67569,                    nan,                    nan,                    nan,             0.00035275,             0.00035275,             0.00035275
                     46,                0.87559,                 0.5264,                 1.0912,                0.94868,                0.94128,                0.94336,                0.68626,                    nan,                    nan,                    nan,             0.00034656,             0.00034656,             0.00034656
                     47,                 0.8721,                 0.5207,                 1.0849,                0.94671,                0.92574,                0.93945,                0.69083,                    nan,                    nan,                    nan,             0.00034038,             0.00034038,             0.00034038
                     48,                0.85822,                0.51186,                 1.0875,                0.94496,                0.93401,                0.93948,                0.68837,                    nan,                    nan,                    nan,             0.00033419,             0.00033419,             0.00033419
                     49,                0.86301,                 0.5237,                 1.0892,                0.92926,                  0.941,                0.93326,                0.68069,                    nan,                    nan,                    nan,               0.000328,               0.000328,               0.000328
                     50,                0.84849,                 0.5111,                 1.0726,                0.93677,                0.93682,                0.93611,                0.68227,                    nan,                    nan,                    nan,             0.00032181,             0.00032181,             0.00032181
                     51,                0.86936,                0.51397,                 1.0917,                0.94174,                0.93743,                0.93929,                0.68404,                    nan,                    nan,                    nan,             0.00031562,             0.00031562,             0.00031562
                     52,                0.86288,                 0.5056,                 1.0918,                0.94203,                0.94215,                0.93794,                0.68459,                    nan,                    nan,                    nan,             0.00030944,             0.00030944,             0.00030944
                     53,                0.85932,                0.50006,                 1.0824,                0.93912,                0.93749,                0.94023,                0.69311,                    nan,                    nan,                    nan,             0.00030325,             0.00030325,             0.00030325
                     54,                 0.8427,                0.49312,                 1.0759,                0.94802,                0.93029,                0.93811,                 0.6867,                    nan,                    nan,                    nan,             0.00029706,             0.00029706,             0.00029706
                     55,                  0.839,                0.48863,                 1.0776,                0.94231,                0.92801,                0.93437,                0.68169,                    nan,                    nan,                    nan,             0.00029088,             0.00029088,             0.00029088
                     56,                0.85644,                0.49889,                 1.0794,                0.94894,                0.92955,                0.94148,                 0.6863,                    nan,                    nan,                    nan,             0.00028469,             0.00028469,             0.00028469
                     57,                0.82771,                0.48501,                  1.068,                0.94437,                0.92513,                0.93728,                0.68476,                    nan,                    nan,                    nan,              0.0002785,              0.0002785,              0.0002785
                     58,                0.83511,                0.48349,                 1.0665,                0.94382,                0.93046,                 0.9377,                0.68846,                    nan,                    nan,                    nan,             0.00027231,             0.00027231,             0.00027231
                     59,                0.82698,                 0.4716,                 1.0655,                0.94576,                 0.9291,                0.93642,                0.68905,                    nan,                    nan,                    nan,             0.00026613,             0.00026613,             0.00026613
                     60,                0.83155,                0.48126,                 1.0743,                0.94311,                 0.9358,                0.93857,                0.68803,                    nan,                    nan,                    nan,             0.00025994,             0.00025994,             0.00025994
                     61,                 0.8255,                0.47213,                 1.0661,                0.94242,                0.93631,                 0.9378,                0.69139,                    nan,                    nan,                    nan,             0.00025375,             0.00025375,             0.00025375
                     62,                0.82025,                0.47349,                 1.0668,                0.94105,                0.94001,                0.94098,                0.68949,                    nan,                    nan,                    nan,             0.00024756,             0.00024756,             0.00024756
                     63,                0.81567,                0.47266,                 1.0615,                0.94195,                0.94043,                0.94076,                0.69248,                    nan,                    nan,                    nan,             0.00024137,             0.00024137,             0.00024137
                     64,                0.81723,                0.47257,                 1.0634,                0.94698,                0.93403,                0.93674,                0.68657,                    nan,                    nan,                    nan,             0.00023519,             0.00023519,             0.00023519
                     65,                0.81437,                0.46833,                 1.0568,                0.93942,                0.94375,                0.94173,                0.69303,                    nan,                    nan,                    nan,               0.000229,               0.000229,               0.000229
                     66,                 0.8176,                0.46505,                  1.062,                0.93988,                 0.9373,                0.94108,                0.69758,                    nan,                    nan,                    nan,             0.00022281,             0.00022281,             0.00022281
                     67,                0.82078,                0.46859,                 1.0635,                0.93673,                0.93882,                0.94018,                0.69105,                    nan,                    nan,                    nan,             0.00021662,             0.00021662,             0.00021662
                     68,                0.81408,                0.45422,                 1.0589,                 0.9413,                0.93857,                0.94151,                0.69826,                    nan,                    nan,                    nan,             0.00021044,             0.00021044,             0.00021044
                     69,                0.81567,                0.45993,                 1.0536,                0.94559,                0.93357,                0.93616,                0.69168,                    nan,                    nan,                    nan,             0.00020425,             0.00020425,             0.00020425
                     70,                0.79855,                0.46208,                 1.0555,                0.94593,                0.93142,                0.93565,                0.68972,                    nan,                    nan,                    nan,             0.00019806,             0.00019806,             0.00019806
                     71,                0.80411,                0.46233,                 1.0528,                0.94724,                0.93865,                0.93655,                0.68636,                    nan,                    nan,                    nan,             0.00019188,             0.00019188,             0.00019188
                     72,                0.80127,                0.44868,                  1.052,                0.94389,                0.92884,                0.93489,                0.69133,                    nan,                    nan,                    nan,             0.00018569,             0.00018569,             0.00018569
                     73,                0.80185,                0.45293,                 1.0563,                0.94936,                0.92995,                0.93701,                 0.6937,                    nan,                    nan,                    nan,              0.0001795,              0.0001795,              0.0001795
                     74,                0.78793,                0.45375,                 1.0492,                0.94199,                0.92774,                0.93948,                0.69355,                    nan,                    nan,                    nan,             0.00017331,             0.00017331,             0.00017331
                     75,                 0.7966,                0.44579,                 1.0557,                0.94381,                0.93161,                0.93936,                0.69457,                    nan,                    nan,                    nan,             0.00016713,             0.00016713,             0.00016713
                     76,                 0.7814,                0.43408,                 1.0367,                0.94768,                0.93558,                0.93631,                 0.6943,                    nan,                    nan,                    nan,             0.00016094,             0.00016094,             0.00016094
                     77,                  0.793,                0.43755,                 1.0521,                0.94043,                 0.9333,                0.93676,                0.69202,                    nan,                    nan,                    nan,             0.00015475,             0.00015475,             0.00015475
                     78,                0.77677,                0.43165,                 1.0401,                0.94409,                 0.9391,                0.93972,                 0.6963,                    nan,                    nan,                    nan,             0.00014856,             0.00014856,             0.00014856
